"sample_size","ban_year","att_min","att_max","att_median","specification"
3,2014,-0.164491844720003,0.224015105982488,0.000599318390651209,"County"
3,2015,-0.173246655913933,0.232300432358659,-0.00453694284674643,"County"
3,2016,-0.17164634679518,0.248431231758305,0.000604140577738842,"County"
4,2014,-0.167206559464341,0.226400316316442,-0.00275468993037689,"County"
4,2015,-0.175446003137182,0.229315256526724,-0.00443015989180787,"County"
4,2016,-0.174490619488218,0.241754797203833,-0.00139114197884066,"County"
5,2014,-0.167885317950573,0.228431146140714,-0.00343565006036912,"County"
5,2015,-0.178579449723582,0.224726926540923,-0.0066536878857919,"County"
5,2016,-0.178719844429307,0.245829145418988,-0.00320257912517672,"County"
6,2014,-0.164200547796492,0.231809372098773,-0.00468964891052395,"County"
6,2015,-0.181108865271675,0.23482035332185,-0.00660808913094958,"County"
6,2016,-0.180732016232263,0.242308628118082,-0.00423244459207018,"County"
7,2014,-0.173590456640783,0.235394030626986,-0.00420539703996795,"County"
7,2015,-0.176293457678616,0.233118438036556,-0.00652193249157221,"County"
7,2016,-0.179918010442464,0.243762648823351,-0.00351150666037212,"County"
8,2014,-0.17440640198079,0.236703336787348,-0.00483021248798495,"County"
8,2015,-0.178278479265252,0.244545855630145,-0.00569313377707701,"County"
8,2016,-0.183549960639876,0.244315564861724,-0.00678346448395454,"County"
9,2014,-0.172327746954793,0.241317663192376,-0.00346934151152053,"County"
9,2015,-0.183732881413718,0.23967489065137,-0.00635898998033666,"County"
9,2016,-0.184050476278868,0.256557464607108,-0.0062384500682221,"County"
10,2014,-0.169976109768939,0.234535089002749,-0.00414512939822206,"County"
10,2015,-0.180647479163903,0.244248010111725,-0.00658820169282718,"County"
10,2016,-0.185762887550803,0.259211088460429,-0.00561492703007774,"County"
3,2014,-0.0949170860917905,0.122393450219511,0.0101412440485208,"County Pooled"
3,2015,-0.1016988025264,0.129507534084959,0.0094018377858427,"County Pooled"
3,2016,-0.100818443562588,0.128978327837202,0.00972677130555644,"County Pooled"
4,2014,-0.0963702080948503,0.119588518857034,0.0100699211733928,"County Pooled"
4,2015,-0.108945079099565,0.126742308126017,0.00774487281200698,"County Pooled"
4,2016,-0.101726264630949,0.126983876270374,0.00811327490190558,"County Pooled"
5,2014,-0.0989472969237499,0.125394325343437,0.0100078550092618,"County Pooled"
5,2015,-0.107351035201814,0.130661497004979,0.00818914194688473,"County Pooled"
5,2016,-0.106992567263085,0.124909304907433,0.0113131852956967,"County Pooled"
6,2014,-0.09882067423858,0.125041983246814,0.00999102508143917,"County Pooled"
6,2015,-0.113975698879563,0.124955278670082,0.00552157110089102,"County Pooled"
6,2016,-0.106127186291465,0.127613400935238,0.00662434175470504,"County Pooled"
7,2014,-0.0996800913491136,0.122948061322778,0.00857966924930895,"County Pooled"
7,2015,-0.111728256691788,0.127569459275331,0.00813258881332939,"County Pooled"
7,2016,-0.107643114760719,0.129258546193991,0.00638705617507599,"County Pooled"
8,2014,-0.106780154934926,0.124492731645638,0.00906559777639604,"County Pooled"
8,2015,-0.117538438188318,0.132803587370512,0.00580151135873722,"County Pooled"
8,2016,-0.110101567589384,0.132198234925222,0.00508167073860657,"County Pooled"
9,2014,-0.103981057527558,0.131008005337442,0.00717023222287574,"County Pooled"
9,2015,-0.11553384276811,0.127339282218918,0.00676261825792636,"County Pooled"
9,2016,-0.11103817849567,0.130991776773059,0.00547249239337328,"County Pooled"
10,2014,-0.105382348399406,0.119034622174769,0.00644022713601867,"County Pooled"
10,2015,-0.119830545369818,0.129338244027443,0.00439144850438416,"County Pooled"
10,2016,-0.11526504476163,0.129159450131153,0.00760008783758139,"County Pooled"
3,2014,-0.0620607805954494,0.0496508933810639,-0.00617276418935446,"County Pooled State"
3,2015,-0.0690498548644591,0.0632024056426932,-0.0137662711068426,"County Pooled State"
3,2016,-0.0699147052040562,0.0656244793018206,-0.0144648314207019,"County Pooled State"
4,2014,-0.0748319405305711,0.0515405645928022,-0.00914276983569611,"County Pooled State"
4,2015,-0.0724031282924373,0.0611223523929207,-0.0144495392162458,"County Pooled State"
4,2016,-0.0659432701833817,0.0593647390348762,-0.0149792162590447,"County Pooled State"
5,2014,-0.0712975888166697,0.0453823632851142,-0.012791192247204,"County Pooled State"
5,2015,-0.0720439582956123,0.0590839534606711,-0.014767349465638,"County Pooled State"
5,2016,-0.06414932517783,0.0562101370165826,-0.0113719366164374,"County Pooled State"
6,2014,-0.0645078150039809,0.0418924735129115,-0.0120773781196117,"County Pooled State"
6,2015,-0.0720183583149198,0.0604255201017367,-0.0121280198896319,"County Pooled State"
6,2016,-0.0676647824153334,0.0606963001236447,-0.0113077140492502,"County Pooled State"
7,2014,-0.0636790121608611,0.0470618193313304,-0.00994952593533571,"County Pooled State"
7,2015,-0.0740206744759912,0.0581698571933781,-0.0148921943606312,"County Pooled State"
7,2016,-0.0663189815676684,0.0626687274155123,-0.0183442437779086,"County Pooled State"
8,2014,-0.0663249880685682,0.0542601691894227,-0.0125802836738778,"County Pooled State"
8,2015,-0.0728084942953346,0.0571964342950511,-0.0160266960411336,"County Pooled State"
8,2016,-0.0628272644832322,0.0539512466290705,-0.00678180164543177,"County Pooled State"
9,2014,-0.0693372293512153,0.0485011292459729,-0.00922471279831443,"County Pooled State"
9,2015,-0.0736786565174613,0.0536378876324599,-0.0152384905239945,"County Pooled State"
9,2016,-0.0677540440901018,0.0579020315283566,-0.0097679986860655,"County Pooled State"
10,2014,-0.0673016146730075,0.0422477161445448,-0.0149009481211696,"County Pooled State"
10,2015,-0.0745647904594503,0.0552587600145966,-0.0167805625778371,"County Pooled State"
10,2016,-0.0689983525277285,0.0594001187151772,-0.00849257798772681,"County Pooled State"
3,2014,-0.0645097046157134,0.0490311686373967,-0.0109326704845913,"State"
3,2015,-0.0639582552632315,0.0804721353507139,0.000440529814524056,"State"
3,2016,-0.0629398517226844,0.0955455678123313,0.00442985574512138,"State"
4,2014,-0.0609115067275009,0.0488446844552616,-0.00575274538751831,"State"
4,2015,-0.0648777035509139,0.0779368729294435,-0.00548733681068059,"State"
4,2016,-0.0588554371198288,0.106875141867386,-0.00385666935942289,"State"
5,2014,-0.0608623638805543,0.0461009336546933,-0.00265724206042437,"State"
5,2015,-0.0661891642178288,0.0743792010163855,-0.00474705897575585,"State"
5,2016,-0.0621926428783167,0.106458087427842,-0.0129784944617157,"State"
6,2014,-0.0614576385351558,0.0440266625827586,-0.000272253874448261,"State"
6,2015,-0.0680581715039021,0.0737331196936444,-0.00731907191030746,"State"
6,2016,-0.0624238865427546,0.100361054717251,-0.00790367230006982,"State"
7,2014,-0.0612803626370282,0.0443736359508154,0.000937811865244391,"State"
7,2015,-0.0666094059859325,0.0709990373246271,-0.00765001968656212,"State"
7,2016,-0.0629872254330183,0.105721483661,-0.00522243663545008,"State"
8,2014,-0.0608112198856341,0.0458888400169507,0.00258462449931304,"State"
8,2015,-0.0703512512924369,0.0677213389724413,-0.00877821270467967,"State"
8,2016,-0.069550393508499,0.106118148456684,8.36634277999796e-05,"State"
9,2014,-0.0632855172927482,0.04756250498082,0.00338897474150852,"State"
9,2015,-0.0692076860912893,0.0668728163409877,-0.00478373833485583,"State"
9,2016,-0.0704414517047418,0.0989070968275036,0.00212911438848787,"State"
10,2014,-0.0633797590211817,0.0474219798299855,-0.000145740965952192,"State"
10,2015,-0.0700093517898525,0.0655012389782002,-0.0034849331397492,"State"
10,2016,-0.0723510136540348,0.100673786363507,0.00254432078581469,"State"
3,2014,-0.0323952526873092,0.0325792534867711,-0.00456167196777217,"State Pooled"
3,2015,-0.0325581083831539,0.0571727083745126,0.00692956097727612,"State Pooled"
3,2016,-0.0283534600312054,0.0435373984531736,-0.00790946158200501,"State Pooled"
4,2014,-0.0328222135075051,0.033269002186049,-0.00340889088861061,"State Pooled"
4,2015,-0.0383975361759673,0.0492991944241431,0.0022091536880008,"State Pooled"
4,2016,-0.0367346630008434,0.0458311767813584,-0.00488332696151067,"State Pooled"
5,2014,-0.0332229910403804,0.0325285888950715,-0.0047743529854795,"State Pooled"
5,2015,-0.0368586930033257,0.0474820330502546,0.00424239755317975,"State Pooled"
5,2016,-0.0373733757592815,0.0458799388500807,-0.00481224314138993,"State Pooled"
6,2014,-0.0357973910454035,0.0313710152059753,-0.0029935456535021,"State Pooled"
6,2015,-0.0371523174640715,0.0476942330172309,0.00787946229696191,"State Pooled"
6,2016,-0.0375075354022831,0.0424669654428916,-0.00625448503243885,"State Pooled"
7,2014,-0.034880927581746,0.0329321048212715,-0.0012027841684394,"State Pooled"
7,2015,-0.0389643965171817,0.0458062794304119,0.00714847763750939,"State Pooled"
7,2016,-0.0407234468166075,0.0428291182436175,-0.0062769927564273,"State Pooled"
8,2014,-0.0335929430622248,0.0336994696522473,0.00155437281604169,"State Pooled"
8,2015,-0.0395776821650341,0.0428071450552299,0.00619915748260588,"State Pooled"
8,2016,-0.0438475776127861,0.0426279371848228,-0.000634053125659957,"State Pooled"
9,2014,-0.0356388674570918,0.0346184794261431,-0.000209028970816387,"State Pooled"
9,2015,-0.0402431737939497,0.0411387487971434,0.0039731409102127,"State Pooled"
9,2016,-0.0459106562732553,0.0458225397482333,-0.000618762947460114,"State Pooled"
10,2014,-0.035259010109175,0.0338571631072234,-0.00106442288693995,"State Pooled"
10,2015,-0.0423846940850384,0.0401719360771395,0.00292083074371868,"State Pooled"
10,2016,-0.0458849133420868,0.0474213769249901,0.00049874555431699,"State Pooled"
