sample_size,ban_year,county_id,n,att,attempt
3,2013,MA,25,-0.049673856,1
4,2013,MA,41,-0.046509444,1
5,2013,MA,47,-0.044641602,1
6,2013,MA,50,-0.041373301,1
7,2013,MA,50,-0.0390484,1
8,2013,MA,50,-0.035344254,1
9,2013,MA,50,-0.032642986,1
10,2013,MA,50,-0.031666203,1
3,2013,MA,23,-0.050802867,2
4,2013,MA,32,-0.044082662,2
5,2013,MA,47,-0.045053505,2
6,2013,MA,50,-0.039960907,2
7,2013,MA,50,-0.040122759,2
8,2013,MA,50,-0.036475757,2
9,2013,MA,50,-0.033937761,2
10,2013,MA,50,-0.032618936,2
3,2013,MA,24,-0.049703564,3
4,2013,MA,37,-0.042901525,3
5,2013,MA,49,-0.043925594,3
6,2013,MA,48,-0.044034974,3
7,2013,MA,49,-0.039030631,3
8,2013,MA,49,-0.036507327,3
9,2013,MA,49,-0.0351556,3
10,2013,MA,50,-0.03077703,3
3,2013,MA,21,-0.042598733,4
4,2013,MA,39,-0.045385277,4
5,2013,MA,45,-0.045932678,4
6,2013,MA,50,-0.039974355,4
7,2013,MA,50,-0.040400998,4
8,2013,MA,50,-0.036774911,4
9,2013,MA,50,-0.033862456,4
10,2013,MA,50,-0.029912634,4
3,2013,MA,22,-0.049644149,5
4,2013,MA,39,-0.044066897,5
5,2013,MA,46,-0.042787696,5
6,2013,MA,49,-0.041793685,5
7,2013,MA,49,-0.037055301,5
8,2013,MA,50,-0.035344377,5
9,2013,MA,50,-0.032341379,5
10,2013,MA,50,-0.032208815,5
3,2013,MA,21,-0.047016636,6
4,2013,MA,42,-0.044484524,6
5,2013,MA,48,-0.042587189,6
6,2013,MA,49,-0.039925813,6
7,2013,MA,50,-0.04014856,6
8,2013,MA,49,-0.035518476,6
9,2013,MA,49,-0.034451659,6
10,2013,MA,50,-0.032468621,6
3,2013,MA,20,-0.050802867,7
4,2013,MA,45,-0.045974761,7
5,2013,MA,47,-0.043479547,7
6,2013,MA,50,-0.042675339,7
7,2013,MA,49,-0.037627287,7
8,2013,MA,49,-0.035704693,7
9,2013,MA,49,-0.034761153,7
10,2013,MA,48,-0.030451727,7
3,2013,MA,22,-0.049703564,8
4,2013,MA,43,-0.045684957,8
5,2013,MA,47,-0.045017659,8
6,2013,MA,49,-0.042229776,8
7,2013,MA,48,-0.039516395,8
8,2013,MA,49,-0.036157857,8
9,2013,MA,50,-0.033809262,8
10,2013,MA,50,-0.030471933,8
3,2013,MA,20,-0.050802867,9
4,2013,MA,42,-0.045693617,9
5,2013,MA,47,-0.044845483,9
6,2013,MA,49,-0.041966111,9
7,2013,MA,50,-0.038288564,9
8,2013,MA,50,-0.035215678,9
9,2013,MA,50,-0.032733763,9
10,2013,MA,50,-0.032025123,9
3,2013,MA,19,-0.050802867,10
4,2013,MA,44,-0.048290807,10
5,2013,MA,49,-0.044761175,10
6,2013,MA,47,-0.041644129,10
7,2013,MA,50,-0.041084686,10
8,2013,MA,50,-0.036526598,10
9,2013,MA,50,-0.03352287,10
10,2013,MA,50,-0.033168131,10
3,2013,MA,24,-0.050802867,11
4,2013,MA,40,-0.043567198,11
5,2013,MA,47,-0.044737762,11
6,2013,MA,47,-0.043479075,11
7,2013,MA,50,-0.039082895,11
8,2013,MA,50,-0.036035707,11
9,2013,MA,50,-0.035257019,11
10,2013,MA,50,-0.030956205,11
3,2013,MA,24,-0.047608771,12
4,2013,MA,41,-0.046467003,12
5,2013,MA,47,-0.047555503,12
6,2013,MA,50,-0.042566139,12
7,2013,MA,50,-0.038084913,12
8,2013,MA,50,-0.037032125,12
9,2013,MA,50,-0.031649152,12
10,2013,MA,49,-0.030573171,12
3,2013,MA,28,-0.050802867,13
4,2013,MA,37,-0.047231258,13
5,2013,MA,49,-0.04345371,13
6,2013,MA,50,-0.041194984,13
7,2013,MA,50,-0.038722975,13
8,2013,MA,50,-0.034902591,13
9,2013,MA,50,-0.032918778,13
10,2013,MA,50,-0.033020507,13
3,2013,MA,25,-0.047608771,14
4,2013,MA,38,-0.045242843,14
5,2013,MA,48,-0.044972877,14
6,2013,MA,50,-0.041213423,14
7,2013,MA,49,-0.038574313,14
8,2013,MA,50,-0.036481289,14
9,2013,MA,49,-0.034542497,14
10,2013,MA,50,-0.029425588,14
3,2013,MA,23,-0.047608771,15
4,2013,MA,40,-0.04657416,15
5,2013,MA,47,-0.043129427,15
6,2013,MA,50,-0.039680417,15
7,2013,MA,49,-0.03821051,15
8,2013,MA,49,-0.036067297,15
9,2013,MA,50,-0.032697784,15
10,2013,MA,50,-0.030207796,15
3,2013,MA,24,-0.0464245,16
4,2013,MA,40,-0.044484524,16
5,2013,MA,44,-0.047360264,16
6,2013,MA,50,-0.042110521,16
7,2013,MA,50,-0.038863526,16
8,2013,MA,50,-0.03523366,16
9,2013,MA,50,-0.029433514,16
10,2013,MA,50,-0.032424111,16
3,2013,MA,19,-0.050802867,17
4,2013,MA,43,-0.04657416,17
5,2013,MA,47,-0.044212824,17
6,2013,MA,50,-0.04426455,17
7,2013,MA,48,-0.036677409,17
8,2013,MA,50,-0.035996306,17
9,2013,MA,50,-0.033885027,17
10,2013,MA,50,-0.031139658,17
3,2013,MA,20,-0.044836344,18
4,2013,MA,41,-0.045642228,18
5,2013,MA,46,-0.044563338,18
6,2013,MA,50,-0.041813788,18
7,2013,MA,50,-0.039408233,18
8,2013,MA,50,-0.034626082,18
9,2013,MA,50,-0.034105367,18
10,2013,MA,50,-0.032270627,18
3,2013,MA,22,-0.057926014,19
4,2013,MA,43,-0.04657416,19
5,2013,MA,48,-0.042364633,19
6,2013,MA,48,-0.042206181,19
7,2013,MA,50,-0.038622193,19
8,2013,MA,50,-0.03420069,19
9,2013,MA,50,-0.034130687,19
10,2013,MA,50,-0.02899965,19
3,2013,MA,26,-0.047608771,20
4,2013,MA,37,-0.043744841,20
5,2013,MA,46,-0.042550708,20
6,2013,MA,49,-0.04302811,20
7,2013,MA,50,-0.039254083,20
8,2013,MA,50,-0.036490352,20
9,2013,MA,50,-0.030404446,20
10,2013,MA,49,-0.031378198,20
3,2013,MA,20,-0.049703564,21
4,2013,MA,39,-0.044638297,21
5,2013,MA,50,-0.044404359,21
6,2013,MA,48,-0.043112944,21
7,2013,MA,50,-0.037477748,21
8,2013,MA,50,-0.034870274,21
9,2013,MA,50,-0.034130864,21
10,2013,MA,50,-0.0280263,21
3,2013,MA,20,-0.050802867,22
4,2013,MA,41,-0.043976915,22
5,2013,MA,46,-0.044332638,22
6,2013,MA,48,-0.040335381,22
7,2013,MA,50,-0.041667092,22
8,2013,MA,50,-0.036993283,22
9,2013,MA,49,-0.033010856,22
10,2013,MA,50,-0.029991045,22
3,2013,MA,19,-0.043163947,23
4,2013,MA,37,-0.045693617,23
5,2013,MA,45,-0.044635354,23
6,2013,MA,50,-0.041326486,23
7,2013,MA,50,-0.041089521,23
8,2013,MA,50,-0.03761428,23
9,2013,MA,50,-0.034903772,23
10,2013,MA,50,-0.028980262,23
3,2013,MA,22,-0.045630422,24
4,2013,MA,41,-0.045543383,24
5,2013,MA,48,-0.045050689,24
6,2013,MA,49,-0.037963859,24
7,2013,MA,50,-0.038871861,24
8,2013,MA,49,-0.038231908,24
9,2013,MA,50,-0.034175168,24
10,2013,MA,50,-0.029256676,24
3,2013,MA,18,-0.0464245,25
4,2013,MA,43,-0.046760267,25
5,2013,MA,46,-0.042995923,25
6,2013,MA,49,-0.041326388,25
7,2013,MA,49,-0.038439706,25
8,2013,MA,50,-0.035577929,25
9,2013,MA,50,-0.03286963,25
10,2013,MA,50,-0.031496916,25
3,2013,MA,18,-0.041762534,26
4,2013,MA,41,-0.04729495,26
5,2013,MA,50,-0.043201625,26
6,2013,MA,49,-0.041731456,26
7,2013,MA,50,-0.039575674,26
8,2013,MA,50,-0.036107821,26
9,2013,MA,50,-0.035154466,26
10,2013,MA,50,-0.031196979,26
3,2013,MA,23,-0.057252013,27
4,2013,MA,39,-0.045440983,27
5,2013,MA,45,-0.045069477,27
6,2013,MA,49,-0.040510372,27
7,2013,MA,49,-0.03915641,27
8,2013,MA,50,-0.036814322,27
9,2013,MA,50,-0.033366112,27
10,2013,MA,50,-0.031601465,27
3,2013,MA,22,-0.050223508,28
4,2013,MA,45,-0.048123222,28
5,2013,MA,50,-0.041666596,28
6,2013,MA,49,-0.041566289,28
7,2013,MA,50,-0.037325921,28
8,2013,MA,50,-0.034948395,28
9,2013,MA,49,-0.032600343,28
10,2013,MA,50,-0.030426634,28
3,2013,MA,22,-0.049644149,29
4,2013,MA,41,-0.045463408,29
5,2013,MA,49,-0.045295195,29
6,2013,MA,49,-0.042843252,29
7,2013,MA,50,-0.037886835,29
8,2013,MA,49,-0.036210217,29
9,2013,MA,50,-0.031120634,29
10,2013,MA,50,-0.030513562,29
3,2013,MA,24,-0.049644149,30
4,2013,MA,44,-0.046068476,30
5,2013,MA,47,-0.045705635,30
6,2013,MA,49,-0.044026939,30
7,2013,MA,50,-0.039223051,30
8,2013,MA,50,-0.036136158,30
9,2013,MA,50,-0.032720821,30
10,2013,MA,49,-0.03226114,30
3,2013,MA,19,-0.057252013,31
4,2013,MA,41,-0.048094239,31
5,2013,MA,46,-0.045491038,31
6,2013,MA,50,-0.043620423,31
7,2013,MA,49,-0.040459552,31
8,2013,MA,50,-0.034954365,31
9,2013,MA,50,-0.032496381,31
10,2013,MA,50,-0.02975416,31
3,2013,MA,22,-0.0464245,32
4,2013,MA,41,-0.043928889,32
5,2013,MA,45,-0.044184491,32
6,2013,MA,48,-0.042796346,32
7,2013,MA,50,-0.03901294,32
8,2013,MA,50,-0.036941641,32
9,2013,MA,50,-0.032160093,32
10,2013,MA,50,-0.030944943,32
3,2013,MA,23,-0.043163947,33
4,2013,MA,38,-0.047005041,33
5,2013,MA,48,-0.042156778,33
6,2013,MA,50,-0.042550086,33
7,2013,MA,50,-0.039568195,33
8,2013,MA,50,-0.038155358,33
9,2013,MA,50,-0.034969057,33
10,2013,MA,49,-0.03277386,33
3,2013,MA,19,-0.044836344,34
4,2013,MA,40,-0.049139268,34
5,2013,MA,46,-0.04346516,34
6,2013,MA,49,-0.040682962,34
7,2013,MA,50,-0.039280727,34
8,2013,MA,50,-0.036211323,34
9,2013,MA,50,-0.032473379,34
10,2013,MA,50,-0.029656169,34
3,2013,MA,23,-0.044000146,35
4,2013,MA,36,-0.043567198,35
5,2013,MA,46,-0.047262719,35
6,2013,MA,50,-0.039181432,35
7,2013,MA,50,-0.039089609,35
8,2013,MA,49,-0.036249446,35
9,2013,MA,50,-0.033559346,35
10,2013,MA,50,-0.030093319,35
3,2013,MA,18,-0.044836344,36
4,2013,MA,44,-0.047495503,36
5,2013,MA,47,-0.044676508,36
6,2013,MA,46,-0.040465131,36
7,2013,MA,49,-0.037977974,36
8,2013,MA,50,-0.037156902,36
9,2013,MA,50,-0.033890699,36
10,2013,MA,50,-0.030212517,36
3,2013,MA,21,-0.048656167,37
4,2013,MA,41,-0.046589419,37
5,2013,MA,47,-0.046091598,37
6,2013,MA,49,-0.043131101,37
7,2013,MA,49,-0.038629207,37
8,2013,MA,49,-0.035163104,37
9,2013,MA,50,-0.03466577,37
10,2013,MA,50,-0.030652303,37
3,2013,MA,26,-0.048656167,38
4,2013,MA,40,-0.045740623,38
5,2013,MA,43,-0.042037571,38
6,2013,MA,50,-0.042909012,38
7,2013,MA,50,-0.037858459,38
8,2013,MA,50,-0.03418865,38
9,2013,MA,50,-0.032811024,38
10,2013,MA,50,-0.031756094,38
3,2013,MA,21,-0.045630422,39
4,2013,MA,45,-0.042657921,39
5,2013,MA,50,-0.041848354,39
6,2013,MA,50,-0.042905524,39
7,2013,MA,50,-0.03841284,39
8,2013,MA,50,-0.035639975,39
9,2013,MA,50,-0.034494179,39
10,2013,MA,50,-0.033560644,39
3,2013,MA,18,-0.047016636,40
4,2013,MA,40,-0.047431811,40
5,2013,MA,50,-0.045291442,40
6,2013,MA,47,-0.042161063,40
7,2013,MA,50,-0.042345795,40
8,2013,MA,50,-0.038329109,40
9,2013,MA,50,-0.032645474,40
10,2013,MA,50,-0.029876673,40
3,2013,MA,23,-0.0464245,41
4,2013,MA,48,-0.046484099,41
5,2013,MA,48,-0.043600969,41
6,2013,MA,50,-0.041794084,41
7,2013,MA,50,-0.039417929,41
8,2013,MA,50,-0.036355376,41
9,2013,MA,50,-0.036171003,41
10,2013,MA,50,-0.029885165,41
3,2013,MA,25,-0.047016636,42
4,2013,MA,46,-0.049770263,42
5,2013,MA,48,-0.045999086,42
6,2013,MA,47,-0.043111671,42
7,2013,MA,50,-0.037696126,42
8,2013,MA,50,-0.036545987,42
9,2013,MA,49,-0.034624602,42
10,2013,MA,50,-0.032385629,42
3,2013,MA,19,-0.049644149,43
4,2013,MA,42,-0.046470358,43
5,2013,MA,48,-0.044151044,43
6,2013,MA,47,-0.041289027,43
7,2013,MA,50,-0.036806001,43
8,2013,MA,50,-0.035212453,43
9,2013,MA,50,-0.03262555,43
10,2013,MA,50,-0.030847577,43
3,2013,MA,24,-0.0464245,44
4,2013,MA,37,-0.04392913,44
5,2013,MA,48,-0.044592355,44
6,2013,MA,48,-0.041264158,44
7,2013,MA,48,-0.037861892,44
8,2013,MA,50,-0.035030514,44
9,2013,MA,50,-0.034663272,44
10,2013,MA,50,-0.032675582,44
3,2013,MA,23,-0.050802867,45
4,2013,MA,47,-0.044346756,45
5,2013,MA,46,-0.043351789,45
6,2013,MA,48,-0.039942914,45
7,2013,MA,49,-0.039236287,45
8,2013,MA,50,-0.034868845,45
9,2013,MA,49,-0.033171783,45
10,2013,MA,50,-0.028839534,45
3,2013,MA,24,-0.047016636,46
4,2013,MA,39,-0.049780291,46
5,2013,MA,48,-0.043558905,46
6,2013,MA,50,-0.041734057,46
7,2013,MA,50,-0.039482835,46
8,2013,MA,49,-0.037142118,46
9,2013,MA,50,-0.032986415,46
10,2013,MA,50,-0.031332721,46
3,2013,MA,21,-0.050802867,47
4,2013,MA,40,-0.045867604,47
5,2013,MA,47,-0.042980462,47
6,2013,MA,50,-0.041165468,47
7,2013,MA,50,-0.038452228,47
8,2013,MA,49,-0.037373442,47
9,2013,MA,50,-0.031292557,47
10,2013,MA,50,-0.033336655,47
3,2013,MA,23,-0.047608771,48
4,2013,MA,42,-0.045722203,48
5,2013,MA,48,-0.047454685,48
6,2013,MA,50,-0.040285073,48
7,2013,MA,50,-0.040188742,48
8,2013,MA,49,-0.037655589,48
9,2013,MA,49,-0.033827504,48
10,2013,MA,49,-0.028409063,48
3,2013,MA,20,-0.044794223,49
4,2013,MA,44,-0.048060269,49
5,2013,MA,46,-0.043055233,49
6,2013,MA,48,-0.041328823,49
7,2013,MA,49,-0.03576329,49
8,2013,MA,50,-0.038190705,49
9,2013,MA,50,-0.034740998,49
10,2013,MA,50,-0.0310516,49
3,2013,MA,23,-0.044836344,50
4,2013,MA,40,-0.047942126,50
5,2013,MA,49,-0.043105187,50
6,2013,MA,50,-0.042294819,50
7,2013,MA,50,-0.039789507,50
8,2013,MA,49,-0.035544382,50
9,2013,MA,50,-0.032736982,50
10,2013,MA,50,-0.0323112,50
3,2014,CA,18,0.01252956,1
4,2014,CA,38,-0.003728693,1
5,2014,CA,48,0.003052242,1
6,2014,CA,48,-0.003601931,1
7,2014,CA,49,-0.005243055,1
8,2014,CA,50,-0.006127734,1
9,2014,CA,50,-0.009308389,1
10,2014,CA,50,-0.007126636,1
3,2014,CA,24,0.00968483,2
4,2014,CA,39,0.003870099,2
5,2014,CA,48,-0.005824443,2
6,2014,CA,49,-0.004470659,2
7,2014,CA,49,-0.004273014,2
8,2014,CA,50,-0.00431333,2
9,2014,CA,50,-0.006640166,2
10,2014,CA,49,-0.007428254,2
3,2014,CA,27,0.005036619,3
4,2014,CA,41,-0.001488047,3
5,2014,CA,48,-0.003450986,3
6,2014,CA,48,-0.005282742,3
7,2014,CA,47,-0.003186659,3
8,2014,CA,50,-0.006453015,3
9,2014,CA,50,-0.007073674,3
10,2014,CA,50,-0.008071825,3
3,2014,CA,18,0.010694932,4
4,2014,CA,40,-0.001447504,4
5,2014,CA,49,-0.005349037,4
6,2014,CA,49,-0.005553065,4
7,2014,CA,50,-0.004452528,4
8,2014,CA,50,-0.004712578,4
9,2014,CA,50,-0.006557256,4
10,2014,CA,50,-0.009027563,4
3,2014,CA,20,0.013113993,5
4,2014,CA,42,0.00243018,5
5,2014,CA,49,-0.003489798,5
6,2014,CA,48,-0.005446248,5
7,2014,CA,50,-0.003304987,5
8,2014,CA,50,-0.006295259,5
9,2014,CA,50,-0.006312744,5
10,2014,CA,50,-0.00852496,5
3,2014,CA,23,0.008860304,6
4,2014,CA,41,-0.002226887,6
5,2014,CA,50,-0.00526557,6
6,2014,CA,48,-0.00406349,6
7,2014,CA,50,-0.003170531,6
8,2014,CA,50,-0.006459755,6
9,2014,CA,50,-0.006734678,6
10,2014,CA,50,-0.008076802,6
3,2014,CA,22,0.01252956,7
4,2014,CA,41,-0.000977593,7
5,2014,CA,45,-0.001309992,7
6,2014,CA,50,-0.003492404,7
7,2014,CA,50,-0.006273333,7
8,2014,CA,50,-0.005782233,7
9,2014,CA,50,-0.006172542,7
10,2014,CA,50,-0.008771827,7
3,2014,CA,23,0.013113993,8
4,2014,CA,39,0.005629832,8
5,2014,CA,47,-0.00420318,8
6,2014,CA,50,-0.002057921,8
7,2014,CA,50,-0.004718193,8
8,2014,CA,50,-0.00595367,8
9,2014,CA,50,-0.008774514,8
10,2014,CA,50,-0.009274037,8
3,2014,CA,19,0.014776993,9
4,2014,CA,38,0.002963742,9
5,2014,CA,49,-0.004125233,9
6,2014,CA,49,-0.001509109,9
7,2014,CA,50,-0.00472742,9
8,2014,CA,50,-0.00558927,9
9,2014,CA,50,-0.006101076,9
10,2014,CA,50,-0.007383351,9
3,2014,CA,26,0.00968483,10
4,2014,CA,41,-0.001235456,10
5,2014,CA,50,-0.004235895,10
6,2014,CA,50,-0.005240728,10
7,2014,CA,50,-0.004808976,10
8,2014,CA,50,-0.005047222,10
9,2014,CA,49,-0.006609812,10
10,2014,CA,50,-0.007609614,10
3,2014,CA,18,0.007559878,11
4,2014,CA,43,-0.000460674,11
5,2014,CA,48,-0.00768805,11
6,2014,CA,49,-0.003786667,11
7,2014,CA,50,-0.004174683,11
8,2014,CA,50,-0.006790103,11
9,2014,CA,50,-0.007639546,11
10,2014,CA,49,-0.007098517,11
3,2014,CA,27,0.012821776,12
4,2014,CA,46,0.001992533,12
5,2014,CA,50,-0.003800183,12
6,2014,CA,49,-0.002380914,12
7,2014,CA,50,-0.006334056,12
8,2014,CA,50,-0.005682014,12
9,2014,CA,50,-0.006730356,12
10,2014,CA,50,-0.008194356,12
3,2014,CA,21,0.010509357,13
4,2014,CA,42,-0.000316471,13
5,2014,CA,44,0.000742967,13
6,2014,CA,48,-0.004133962,13
7,2014,CA,50,-0.007121037,13
8,2014,CA,49,-0.007254043,13
9,2014,CA,50,-0.006749714,13
10,2014,CA,50,-0.008431747,13
3,2014,CA,24,0.013113993,14
4,2014,CA,43,0.000121044,14
5,2014,CA,47,-0.004185519,14
6,2014,CA,50,-0.004071301,14
7,2014,CA,50,-0.004939719,14
8,2014,CA,49,-0.004897432,14
9,2014,CA,50,-0.00693052,14
10,2014,CA,50,-0.008317641,14
3,2014,CA,22,0.01252956,15
4,2014,CA,39,0.0057865,15
5,2014,CA,45,-0.000121617,15
6,2014,CA,46,-0.004098227,15
7,2014,CA,49,-0.00407706,15
8,2014,CA,50,-0.006175046,15
9,2014,CA,50,-0.006857966,15
10,2014,CA,50,-0.00711752,15
3,2014,CA,21,0.011519458,16
4,2014,CA,41,0.001210016,16
5,2014,CA,45,-0.001225121,16
6,2014,CA,49,-0.004295765,16
7,2014,CA,50,-0.00618509,16
8,2014,CA,50,-0.004620091,16
9,2014,CA,50,-0.007427536,16
10,2014,CA,50,-0.008976685,16
3,2014,CA,24,0.010509357,17
4,2014,CA,37,-0.002516888,17
5,2014,CA,46,-0.002701861,17
6,2014,CA,50,-0.003445107,17
7,2014,CA,49,-0.004938217,17
8,2014,CA,50,-0.005326852,17
9,2014,CA,50,-0.007386809,17
10,2014,CA,50,-0.008425202,17
3,2014,CA,26,0.008380155,18
4,2014,CA,43,-0.001159971,18
5,2014,CA,47,-0.001113676,18
6,2014,CA,48,-0.003978262,18
7,2014,CA,49,-0.005586787,18
8,2014,CA,50,-0.00537354,18
9,2014,CA,50,-0.005829037,18
10,2014,CA,50,-0.007989675,18
3,2014,CA,24,0.008860304,19
4,2014,CA,43,-0.000254161,19
5,2014,CA,48,-0.005493348,19
6,2014,CA,49,-0.003973254,19
7,2014,CA,50,-0.002176472,19
8,2014,CA,49,-0.005902978,19
9,2014,CA,50,-0.008001785,19
10,2014,CA,50,-0.007528969,19
3,2014,CA,20,0.01252956,20
4,2014,CA,40,-0.005278142,20
5,2014,CA,49,-0.001036822,20
6,2014,CA,48,-0.005905768,20
7,2014,CA,50,-0.005476166,20
8,2014,CA,50,-0.005035346,20
9,2014,CA,50,-0.007239393,20
10,2014,CA,50,-0.007580347,20
3,2014,CA,24,0.010509357,21
4,2014,CA,42,-0.001340403,21
5,2014,CA,44,-0.006385393,21
6,2014,CA,49,-0.0049949,21
7,2014,CA,49,-0.003520271,21
8,2014,CA,50,-0.004250804,21
9,2014,CA,50,-0.00704991,21
10,2014,CA,50,-0.007805383,21
3,2014,CA,21,0.010509357,22
4,2014,CA,39,-0.000460674,22
5,2014,CA,48,-0.000543738,22
6,2014,CA,50,-0.005013158,22
7,2014,CA,50,-0.004349348,22
8,2014,CA,50,-0.006667761,22
9,2014,CA,50,-0.007095518,22
10,2014,CA,50,-0.007075488,22
3,2014,CA,22,0.011519458,23
4,2014,CA,41,-0.005024468,23
5,2014,CA,46,-0.00400152,23
6,2014,CA,50,-0.004612249,23
7,2014,CA,50,-0.005730922,23
8,2014,CA,49,-0.004559683,23
9,2014,CA,50,-0.007414541,23
10,2014,CA,50,-0.009398026,23
3,2014,CA,23,0.000449273,24
4,2014,CA,38,-0.003946023,24
5,2014,CA,46,-0.006665158,24
6,2014,CA,46,-0.006845447,24
7,2014,CA,49,-0.004419695,24
8,2014,CA,50,-0.00605483,24
9,2014,CA,49,-0.00728324,24
10,2014,CA,50,-0.008207907,24
3,2014,CA,20,0.014776993,25
4,2014,CA,40,-0.002525468,25
5,2014,CA,50,-0.007075057,25
6,2014,CA,48,-0.003143951,25
7,2014,CA,50,-0.004683764,25
8,2014,CA,50,-0.006161662,25
9,2014,CA,50,-0.007489817,25
10,2014,CA,50,-0.007113159,25
3,2014,CA,23,0.01252956,26
4,2014,CA,38,-0.002965726,26
5,2014,CA,47,-0.005637618,26
6,2014,CA,50,-0.004566984,26
7,2014,CA,50,-0.004397709,26
8,2014,CA,50,-0.006608538,26
9,2014,CA,50,-0.005645633,26
10,2014,CA,50,-0.008038185,26
3,2014,CA,24,0.007079728,27
4,2014,CA,39,0.00087863,27
5,2014,CA,49,-0.004638143,27
6,2014,CA,49,-0.004451568,27
7,2014,CA,50,-0.005391846,27
8,2014,CA,50,-0.005550515,27
9,2014,CA,48,-0.00727035,27
10,2014,CA,50,-0.009749798,27
3,2014,CA,21,0.01252956,28
4,2014,CA,42,-0.000157065,28
5,2014,CA,48,-0.00363879,28
6,2014,CA,50,-0.003932928,28
7,2014,CA,50,-0.004168182,28
8,2014,CA,50,-0.004840314,28
9,2014,CA,49,-0.006933964,28
10,2014,CA,50,-0.008542071,28
3,2014,CA,24,-0.001167135,29
4,2014,CA,41,-0.001488047,29
5,2014,CA,47,-0.005424989,29
6,2014,CA,49,-0.004699137,29
7,2014,CA,50,-0.00565149,29
8,2014,CA,50,-0.007178374,29
9,2014,CA,50,-0.007200241,29
10,2014,CA,50,-0.009565486,29
3,2014,CA,24,0.008860304,30
4,2014,CA,42,0.006402365,30
5,2014,CA,47,-0.002584035,30
6,2014,CA,50,-0.002576007,30
7,2014,CA,50,-0.005494621,30
8,2014,CA,50,-0.006425976,30
9,2014,CA,49,-0.007696122,30
10,2014,CA,50,-0.008962342,30
3,2014,CA,22,0.01252956,31
4,2014,CA,36,-0.001320132,31
5,2014,CA,46,-0.006072213,31
6,2014,CA,48,-0.004530173,31
7,2014,CA,49,-0.004459289,31
8,2014,CA,49,-0.00652103,31
9,2014,CA,50,-0.006522838,31
10,2014,CA,50,-0.008005903,31
3,2014,CA,22,0.01252956,32
4,2014,CA,41,-0.002965726,32
5,2014,CA,48,-0.002451633,32
6,2014,CA,49,-0.005306748,32
7,2014,CA,46,-0.004341427,32
